Column,Statistic,Critical Values,Significance Levels
13_1,518.9348724289739,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_0,2368.004166356055,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_1,4015.511138930786,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_2,3416.855939281915,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_3,3258.953156584539,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_5,25014.84164205355,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_6,25028.59039747913,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_7,14473.490926599916,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_8,22553.300236342504,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_10,4333.074940808845,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_11,4238.866413854819,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_15,7793.213394082777,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_16,8787.161032435717,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_17,9656.896809174606,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_18,8315.040624377507,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_20,23784.751748186725,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_21,23801.576851989128,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_22,12335.001983694805,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_23,22137.56220495375,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_25,4892.512585141769,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_26,4849.522237067984,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_27,21147.389026984703,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_28,,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_30,4973.635316956628,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_31,4980.168536366793,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_35,4973.223847756148,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_36,4994.349149242655,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_37,26367.84457852706,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_38,3666.0986121917376,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_55,13997.330501032498,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_56,13916.966854770115,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_57,27813.19787626146,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_58,1411.683786143447,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
60_69,149.93510369611613,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
61_0,9913.293260050326,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
61_1,9813.524506067697,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
61_2,27813.194000632124,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
61_3,3447.4929072884406,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
61_15,10001.969465172457,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
61_16,9910.434128209454,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
61_18,26351.89328751192,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
61_40,10004.933998332592,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
61_41,9952.160151481658,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
61_43,27812.938446610875,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
61_100,9667.454303046397,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
61_101,9130.842842057275,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
61_102,11080.630530158553,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
61_103,3421.396540337606,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
61_105,9707.326460626471,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
61_106,9799.653980189294,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
61_107,11080.630530158553,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
61_108,7089.557628988026,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_35,9977.444654215928,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_36,9831.41595523004,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_37,13595.284961036989,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_38,13550.680742222205,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_50,10005.95961448198,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_51,9777.466056339952,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_52,4488.435365812795,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_53,4589.468843107999,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_55,10012.449463873141,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_56,9503.70112823046,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_57,,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_58,11204.55267598381,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_60,10010.5390677432,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_61,9855.725705142773,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_62,27813.52256868071,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_63,7885.885831772335,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_65,10012.686145721833,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_66,9820.73948842258,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_67,27813.194000632124,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_68,3664.325005413615,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_90,9866.714628457674,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_91,9850.030979277915,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_92,27813.194000632124,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_93,4407.081680649862,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_100,9963.715918484333,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_101,9792.620240147618,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_102,27766.643094768253,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_103,7257.227421878764,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_110,9947.96189563413,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_111,9683.356256507046,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_112,5684.42962044281,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
62_113,5677.643320195508,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
63_0,8777.316460446455,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
63_1,8789.301099974691,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
63_2,27813.19787626146,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
63_3,616.966737524257,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
63_5,5401.36941104733,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
63_6,4402.499751112628,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
63_7,7672.778022952334,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
63_8,7350.399317798394,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
63_10,5389.355413390673,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
63_11,4401.235693131617,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
63_12,7283.746218750137,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
63_13,7173.9134062321245,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
63_45,4417.439481709647,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
63_46,4407.986158338623,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
63_47,20138.199402206024,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
63_48,6365.17089643683,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
63_60,4488.671935680308,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
63_61,4444.33954152948,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
63_62,15673.188022545903,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
63_63,8774.16068571023,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
63_65,3541.871016770747,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
63_66,4462.487014601778,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
63_67,14870.386302558734,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
63_68,16614.265759184345,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
65_8,13146.310057948911,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
65_9,8620.24532918571,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
65_32,13919.2752788418,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
65_33,14255.079793694735,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
65_48,10181.238989869104,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
65_49,6197.5908096787025,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
65_52,12990.150937472834,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
65_53,10650.747131412572,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
65_54,13475.35937755536,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
65_55,6226.838925680873,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
65_56,13244.908047230172,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
65_57,7459.7416164569295,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
65_58,7119.733511832921,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
65_59,6435.950750619551,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
65_88,14181.499123707166,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
65_89,13260.97257723719,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
65_90,14181.499123686634,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
65_91,13152.527851510356,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
65_108,14278.353164519154,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
65_109,8832.027088236806,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
65_115,11067.980401781577,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
65_116,10967.324848658987,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
66_8,8830.729391707559,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
66_9,6631.461433150907,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
66_10,16248.657743139236,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
66_11,7491.747095991086,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
66_20,17052.64070152813,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
66_21,8504.529907813674,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
66_70,18510.307388895046,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
66_71,16764.952260802223,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
67_3,3982.629336732498,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
67_11,8779.632505208123,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
67_12,7480.762808713029,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
67_13,8330.854278692408,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
67_14,5589.278566760084,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
67_15,7651.403293906333,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
67_16,9967.16296846744,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
67_17,13378.200958584552,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
67_18,11342.236797606238,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
67_19,2367.592711543097,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
68_0,5172.048778535202,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
68_1,9746.681862545869,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
68_4,9141.893368068471,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
68_5,21980.353083153226,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
68_8,7243.009977356225,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
68_9,8113.228612416249,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
68_13,12527.854794059036,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
68_14,976.9443923786748,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
69_1002,21483.226069545213,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
69_10,15644.213305319892,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
69_36,14278.353164532353,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
69_49,13275.608685657935,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
69_62,24807.40741299832,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
69_75,25391.52442719559,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
69_88,25469.849313953688,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
69_101,24827.285763581516,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
69_790,24147.817090770535,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
69_894,22719.441540838554,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
69_933,21531.97110106499,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
69_946,21483.226069545213,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
68_90,6326.665601888453,[0.576 0.656 0.787 0.918 1.092],[15.  10.   5.   2.5  1. ]
